FID,Shape *,LAB_REF,C14AGE,C14_STANDA,Period,COUNTY,Country,C14_MATERIAL,SITE_NAME,Overall context,C14_TAXON_,SPECIES_TR,MUNICIPALI,LATITUDE,LONGITUDE,Bioregion
2498,Point,T-4753,1280,60,600-800 AD,Oppland,Norway,Charcoal,Stee,Other,Pinus,Pinus,Vestre Slidre,61.1333,8.8833,Boreal
2499,Point,T-18017,1340,60,600-800 AD,Hedmark,Norway,Charcoal,Jfp.5,Iron production site,Picea,Picea,Åmot,61.137,11.443,Boreal
2500,Point,T-19184,1065,60,800-1000 AD,Oppland,Norway,Charcoal,Synnfjell,Iron production site,"Picea, Pinus",Picea,Nordre Land,60.879,9.986,Boreal
2501,Point,T-19184,1065,60,800-1000 AD,Oppland,Norway,Charcoal,Synnfjell,Iron production site,"Picea, Pinus",Pinus,Nordre Land,60.879,9.986,Boreal
2502,Point,T-3094,1040,60,800-1000 AD,Telemark,Norway,Charcoal,id 87757,Iron production site,Betula/Pinus,Betula,Vinje,59.828,8.117,Alpine
2503,Point,T-16907,1180,60,800-1000 AD,Hedmark,Norway,Charcoal,Gråfjellet,Iron production site,Pinus,Pinus,Åmot,61.137,11.443,Boreal
2504,Point,Beta-248530,1150,60,800-1000 AD,Telemark,Norway,Charcoal,Tokk3,Iron production site,Pinus,Pinus,Tokke,59.447,7.973,Boreal
2505,Point,Beta-213440,1010,60,800-1000 AD,Aust-Agder,Norway,Charcoal,Hovden,Iron production site,Betula,Betula,Bykle,59.376,6.987,Alpine
2506,Point,Beta-213442,1000,60,800-1000 AD,Aust-Agder,Norway,Charcoal,Hovden,Iron production site,Betula,Betula,Bykle,59.376,6.987,Alpine
2507,Point,Beta-100481,1080,60,800-1000 AD,Akershus,Norway,Charcoal,Gardermoen,Iron production site,Picea,Picea,Nannestad,60.207,10.949,Boreal
2508,Point,T-17273,1070,60,800-1000 AD,Oppland,Norway,Charcoal,Børrelia II,Iron production site,Picea,Picea,Vang,61.156,8.743,Alpine
2509,Point,T-10341,941,60,800-1000 AD,Aust-Agder,Norway,Charcoal,Hovden 3,Iron production site,Betula,Betula,Bykle,59.55,7.35,Alpine
2510,Point,T-18708,945,60,800-1000 AD,Buskerud,Norway,Charcoal,Haglebu3,Iron production site,Betula,Betula,Sigdal,60.096,9.461,Boreal
2511,Point,Tua-975,1203,60,800-1000 AD,Vestfold,Norway,Hazel nutshell,Haugar,Other,Hazel nutshell,Corylus,Tønsberg,59.2833,10.4,Boreal
2512,Point,Beta-213455,980,60,800-1000 AD,Aust-Agder,Norway,Charcoal,Hovden,Iron production site,Betula,Betula,Bykle,59.376,6.987,Alpine
2513,Point,T-6995,1190,60,800-1000 AD,Aust-Agder,Norway,Charcoal,Vassenden,Other,Pinus,Pinus,Bygland,58.6619,7.8116,Boreal
2514,Point,T-6463,1200,60,800-1000 AD,Oppland,Norway,Charcoal,Tøftom,Settlement site,Pinus,Pinus,Grimsdalen,62.0333,9.45,Alpine
2515,Point,T-13595,2738,59,1000-800 BC,Akershus,Norway,Charcoal,Ottarsrud,Other,"Corylus, Fraxinus",Fraxinus,Frogn,59.6833,10.6667,Boreal
2516,Point,T-13595,2738,59,1000-800 BC,Akershus,Norway,Charcoal,Ottarsrud,Other,"Corylus, Fraxinus",Corylus,Frogn,59.6833,10.6667,Boreal
2517,Point,Tua-3549,1866,59,1-200 AD,Østfold,Norway,Charcoal,Evje,Other,Pinus,Pinus,Rygge,59.3667,10.6833,Boreal
2518,Point,Tua-2947,2853,59,1200-1000 BC,Vestfold,Norway,Charcoal,Jarlsberg hovedgård,Other,Betula,Betula,Tønsberg,59.2833,10.3833,Boreal
2519,Point,Tua-1931,781,59,1200-1400 AD,Oppland,Norway,Charcoal,Gilberg,Settlement site,Picea,Picea,Lillehammer,60.95,10.2333,Boreal
2520,Point,T-14266,743,59,1200-1400 AD,Hedmark,Norway,Charcoal,Hagen grustak,Other,Pinus,Pinus,Elverum,60.8333,11.6167,Boreal
2521,Point,T-14487,3134,59,1400-1200 BC,Akershus,Norway,Charcoal,Bølstad,Other,"Prunus, Sorbus, Quercus",Sorbus,Ås,59.7333,10.7667,Boreal
2522,Point,T-14487,3134,59,1400-1200 BC,Akershus,Norway,Charcoal,Bølstad,Other,"Prunus, Sorbus, Quercus",Quercus,Ås,59.7333,10.7667,Boreal
2523,Point,T-14487,3134,59,1400-1200 BC,Akershus,Norway,Charcoal,Bølstad,Other,"Prunus, Sorbus, Quercus",Prunus,Ås,59.7333,10.7667,Boreal
2524,Point,UBA-18177,3064,59,1400-1200 BC,Vestfold,Norway,Charcoal,Borge østre 22,Other,Quercus,Quercus,Sandefjord,59.255,10.2917,Boreal
2525,Point,T-8369,392,59,1400-1600 AD,Oppland,Norway,Birch bark,Dokkfløyvatn,Other,Betula,Betula,Gausdal,61.1667,9.95,Alpine
2526,Point,T-15039,284,59,1600-1800 AD,Buskerud,Norway,Charcoal,Brattegård,Iron production site,Pinus,Pinus,Ål,60.6833,8.3667,Alpine
2527,Point,T-16940,203,59,1600-1800 AD,Hedmark,Norway,Charcoal,Kroksrud vestre,Other,"Betula, Picea",Picea,Ringsaker,60.9,10.7167,Boreal
2528,Point,T-20144,2111,59,200-1 BC,Østfold,Norway,Charcoal,"Tune, store",Other,Tilia,Tilia,Sarpsborg,59.2833,11.0833,Boreal
2529,Point,T-15226,1782,59,200-400 AD,Akershus,Norway,Charcoal,Moer Nordre,Other,"Betula, Pinus",Betula,Ås,59.65,10.8,Boreal
2530,Point,T-15226,1782,59,200-400 AD,Akershus,Norway,Charcoal,Moer Nordre,Other,"Betula, Pinus",Pinus,Ås,59.65,10.8,Boreal
2531,Point,T-9735,1674,59,200-400 AD,Hedmark,Norway,Charcoal,Lindstad Vestre,Other,Pinus,Pinus,Stange,60.645,11.199,Boreal
2532,Point,T-16425,1769,59,200-400 AD,Vest-Agder,Norway,Charcoal,Åstølånæ/Åstølvatnet,Iron production site,Pinus,Pinus,Åseral,58.6667,7.3667,Atlantic
2533,Point,T-10481,2167,59,400-200 BC,Vest-Agder,Norway,Charcoal,Lundevågen,Other,"Betula, Corylus",Betula,Farsund,58.0833,6.7833,Atlantic
2534,Point,T-10481,2167,59,400-200 BC,Vest-Agder,Norway,Charcoal,Lundevågen,Other,"Betula, Corylus",Corylus,Farsund,58.0833,6.7833,Atlantic
2535,Point,Tua-3042,1502,59,400-600 AD,Akershus,Norway,Charcoal,Moer Nordre,Settlement site,"Betula, Corylus",Betula,Ås,59.65,10.8,Boreal
2536,Point,Tua-3042,1502,59,400-600 AD,Akershus,Norway,Charcoal,Moer Nordre,Settlement site,"Betula, Corylus",Corylus,Ås,59.65,10.8,Boreal
2537,Point,T-10334,1055,59,800-1000 AD,Aust-Agder,Norway,Wood,Klepstad,Other,Salix,Salix,Evje og Hornnes,58.6167,7.95,Boreal
2538,Point,Tua-530,2521,59,800-600 BC,Buskerud,Norway,Charcoal,Bråthen 48/1,Other,Betula,Betula,Ringerike,60.1667,10.2167,Boreal
2539,Point,T-12123,931,58,1000-1200 AD,Akershus,Norway,Charcoal,Garder,Settlement site,"Betula, Picea",Picea,Ullensaker,60.1833,11.05,Boreal
2540,Point,T-12123,931,58,1000-1200 AD,Akershus,Norway,Charcoal,Garder,Settlement site,"Betula, Picea",Betula,Ullensaker,60.1833,11.05,Boreal
2541,Point,T-17619,851,58,1000-1200 AD,Hedmark,Norway,Charcoal,Gråfjell,Iron production site,Picea,Picea,Åmot,61.2833,11.65,Boreal
2542,Point,T-10032,843,58,1000-1200 AD,Oppland,Norway,Charcoal,Bjelbølle,Iron production site,Betula,Betula,Øystre Slidre,61.25,8.9167,Alpine
2543,Point,Tua-2243,2729,58,1000-800 BC,Oppland,Norway,Charcoal,Nordsveen,Settlement site,"Pinus,",Pinus,Nord-Aurdal,60.4833,9.1,Alpine
2544,Point,T-12422,833,58,1200-1400 AD,Akershus,Norway,Charcoal,Garder,Other,"Betula, Pinus",Betula,Ullensaker,60.1833,11.05,Boreal
2545,Point,T-12422,833,58,1200-1400 AD,Akershus,Norway,Charcoal,Garder,Other,"Betula, Pinus",Pinus,Ullensaker,60.1833,11.05,Boreal
2546,Point,T-8488,725,58,1200-1400 AD,Aust-Agder,Norway,Charcoal,Hovden I,Iron production site,Betula,Betula,Bykle,59.5667,7.3667,Alpine
2547,Point,T-10105,741,58,1200-1400 AD,Oppland,Norway,Charcoal,Segalstad,Iron production site,Picea,Picea,Gausdal,61.2167,10.1167,Boreal
2548,Point,T-13713,629,58,1200-1400 AD,Aust-Agder,Norway,Charcoal,Hovden 2,Iron production site,Betula,Betula,Bykle,59.5667,7.35,Alpine
2549,Point,T-10342,654,58,1200-1400 AD,Aust-Agder,Norway,Charcoal,Hovden 4,Iron production site,Betula,Betula,Bykle,59.55,7.3667,Alpine
2550,Point,T-11571,450,58,1400-1600 AD,Hedmark,Norway,Charcoal,Engelaug vestre,Other,Pinus,Pinus,Løten,60.8,11.3,Boreal
2551,Point,T-15224,1644,58,400-600 AD,Akershus,Norway,Charcoal,Moer Nordre,Other,Betula,Betula,Ås,59.65,10.8,Boreal
2552,Point,T-19093,2283,58,600-400 BC,Oppland,Norway,Charcoal,Aursjøen/Geitavollen,Other,Betula,Betula,Lesja,61.9333,8.2333,Alpine
2553,Point,Tua-1819,1082,58,800-1000 AD,Akershus,Norway,Hazel nutshell,Vinterbro,Other,Hazel nutshell,Corylus,Ås,59.75,10.7833,Boreal
2554,Point,T-17656,868,57,1000-1200 AD,Hedmark,Norway,Charcoal,Gråfjell,Iron production site,Picea,Picea,Åmot,61.2833,11.65,Boreal
2555,Point,Tua-3551,2822,57,1000-800 BC,Østfold,Norway,Charcoal,Evje,Settlement site,Betula,Betula,Rygge,59.3667,10.6833,Boreal
2556,Point,T-12458,569,57,1200-1400 AD,Akershus,Norway,Charcoal,Garder,Settlement site,"Betula, Picea",Picea,Ullensaker,60.1833,11.05,Boreal
2557,Point,T-12458,569,57,1200-1400 AD,Akershus,Norway,Charcoal,Garder,Settlement site,"Betula, Picea",Betula,Ullensaker,60.1833,11.05,Boreal
2558,Point,Tua-1932,816,57,1200-1400 AD,Oppland,Norway,Charcoal,Gilberg,Settlement site,Picea,Picea,Lillehammer,60.95,10.2333,Boreal
2559,Point,T-9229,640,57,1200-1400 AD,Aust-Agder,Norway,Charcoal,Hovden,Other,Betula,Betula,Bykle,59.5667,7.3833,Alpine
2560,Point,Tua-2890,3111,57,1400-1200 BC,Vestfold,Norway,Charcoal,Barkåker,Settlement site,Betula,Betula,Tønsberg,59.3,10.4667,Boreal
2561,Point,Tua-3725,4354,57,3000-2800 BC,Vestfold,Norway,Charcoal,Auve,Other,Betula,Betula,Sandefjord,59.0667,10.2667,Boreal
2562,Point,T-12062,1600,57,400-600 AD,Akershus,Norway,Charcoal,Venjar,Other,"Betula, Picea",Picea,Eidsvoll,60.2833,11.1833,Boreal
2563,Point,T-12062,1600,57,400-600 AD,Akershus,Norway,Charcoal,Venjar,Other,"Betula, Picea",Betula,Eidsvoll,60.2833,11.1833,Boreal
2564,Point,T-15204,1615,57,400-600 AD,Akershus,Norway,Charcoal,Treider,Other,Quercus,Quercus,Ås,59.6667,10.7333,Boreal
2565,Point,UBA-17814,8820,57,8000-7500 BC,Vestfold,Norway,Charcoal,E18 Lok. 51,Other,Corylus,Corylus,Stokke,59.2112,10.2451,Boreal
2566,Point,T-14452,1930,56,1-200 AD,Akershus,Norway,Charcoal,Nannestad prestegård,Other,"Betula, Tilia",Betula,Nannestad,60.2167,11.0167,Boreal
2567,Point,T-14452,1930,56,1-200 AD,Akershus,Norway,Charcoal,Nannestad prestegård,Other,"Betula, Tilia",Tilia,Nannestad,60.2167,11.0167,Boreal
2568,Point,T-8509,621,56,1200-1400 AD,Aust-Agder,Norway,Charcoal,Hovden 2,Iron production site,Betula,Betula,Bykle,59.5667,7.35,Alpine
2569,Point,T-12129,840,56,1200-1400 AD,Akershus,Norway,Charcoal,Lyshaug,Other,Pinus,Pinus,Nannestad,60.1667,11.0667,Boreal
2570,Point,T-13899,727,56,1200-1400 AD,Hedmark,Norway,Charcoal,Hanstad,Other,Pinus,Pinus,Elverum,61.8667,11.5833,Alpine
2571,Point,T-11779,423,56,1400-1600 AD,Akershus,Norway,Charcoal,Nesøya hovedgård,Settlement site,Corylus,Corylus,Asker,59.8667,10.5167,Boreal
2572,Point,T-12116,4099,56,2800-2600 BC,Hedmark,Norway,Charcoal,Persmyrkoia,Settlement site,Pinus,Pinus,Åmot,61.2,11.45,Boreal
2573,Point,T-12808,2265,56,400-200 BC,Hedmark,Norway,Charcoal,Persmyrkoia,Other,Pinus,Pinus,Åmot,61.2,11.45,Boreal
2574,Point,Tua-796,2166,56,400-200 BC,Buskerud,Norway,Charcoal,Bråthen 48/1,Other,Betula,Betula,Ringerike,60.1667,10.2167,Boreal
2575,Point,T-13299,1496,56,400-600 AD,Akershus,Norway,Charcoal,Nygård,Other,"Betula, Corylus",Betula,Ås,59.7167,10.7833,Boreal
2576,Point,T-13299,1496,56,400-600 AD,Akershus,Norway,Charcoal,Nygård,Other,"Betula, Corylus",Corylus,Ås,59.7167,10.7833,Boreal
2577,Point,T-13315,1627,56,400-600 AD,Akershus,Norway,Charcoal,Moer Nordre,Other,Quercus,Quercus,Ås,59.65,10.8,Boreal
2578,Point,Tua-2264,1606,56,400-600 AD,Buskerud,Norway,Wood,Halvdanshaugen,Other,Pinus,Pinus,Hole,60.1,10.3,Boreal
2579,Point,T-12148,2420,56,600-400 BC,Akershus,Norway,Charcoal,Flyplassområdet,Other,Pinus,Pinus,Nannestad,60.2333,11.0833,Boreal
2580,Point,T-11410,2458,56,600-400 BC,Østfold,Norway,Charcoal,Gunnarstorp,Other,Pinus,Pinus,Sarpsborg,59.2167,11.1333,Boreal
2581,Point,T-10034,1453,56,600-800 AD,Buskerud,Norway,Charcoal,Smådøla,Iron production site,"Pinus,",Pinus,Nore og Uvdal,60.3167,8.8167,Alpine
2582,Point,T-18433,850,55,1000-1200 AD,Oppland,Norway,Charcoal,Gudbrandslie,Settlement site,"Betula, Pinus, Prunus/Sorbus",Betula,Vang,61.156,8.743,Alpine
2583,Point,T-15427,905,55,1000-1200 AD,Buskerud,Norway,Charcoal,Anderdal søndre,Iron production site,Pinus,Pinus,Hemsedal,60.9,8.845,Alpine
2584,Point,T-8652,857,55,1000-1200 AD,Hedmark,Norway,Charcoal,Mastemoen øst,Iron production site,Pinus,Pinus,Elverum,60.8833,11.5667,Boreal
2585,Point,T-18246,930,55,1000-1200 AD,Oppland,Norway,Charcoal,gudbJfp.14,Iron production site,Pinus,Pinus,Vang,61.156,8.743,Alpine
2586,Point,T-15819,995,55,1000-1200 AD,Hedmark,Norway,Charcoal,Gråfjellet,Iron production site,"Betulus, Salix caprea",Salix,Åmot,61.137,11.443,Boreal
2587,Point,T-18013,985,55,1000-1200 AD,Hedmark,Norway,Charcoal,Jfp.5,Iron production site,Picea,Picea,Åmot,61.137,11.443,Boreal
2588,Point,T-8543,1026,55,1000-1200 AD,Buskerud,Norway,Charcoal,Opheim,Other,Pinus,Pinus,Ål,60.6667,8.6667,Boreal
2589,Point,T-16943,918,55,1000-1200 AD,Vestfold,Norway,Charcoal,Grytingen,Other,Picea,Picea,Stokke,59.2333,10.2833,Boreal
2590,Point,T-12119,978,55,1000-1200 AD,Akershus,Norway,Charcoal,Garder,Settlement site,Betula,Betula,Ullensaker,60.1833,11.05,Boreal
2591,Point,Tra-3968,2705,55,1000-800 BC,Østfold,Norway,Charcoal,Grimstad nordre,Other,Betula,Betula,Fredrikstad,59.214,11.0592,Boreal
2592,Point,T-12967,1892,55,1-200 AD,Hedmark,Norway,Wood,Risskogmyra,Other,Juniper/Pinus,Juniper,Åmot,61.1833,11.4333,Boreal
2593,Point,T-12967,1892,55,1-200 AD,Hedmark,Norway,Wood,Risskogmyra,Other,Juniper/Pinus,Pinus,Åmot,61.1833,11.4333,Boreal
2594,Point,T-19591,1995,55,1-200 AD,Oppland,Norway,Charcoal,S30,Iron production site,Betula,Betula,Gjøvik,60.835,10.617,Boreal
2595,Point,T-18433,850,55,1200-1400 AD,Oppland,Norway,Charcoal,Gudbrandslie,Settlement site,"Betula, Pinus, Prunus/Sorbus",Prunus/Sorbus,Vang,61.156,8.743,Alpine
2596,Point,T-18433,850,55,1200-1400 AD,Oppland,Norway,Charcoal,Gudbrandslie,Settlement site,"Betula, Pinus, Prunus/Sorbus",Pinus,Vang,61.156,8.743,Alpine
2597,Point,T-18464,840,55,1200-1400 AD,Hedmark,Norway,Charcoal,Gråfjellet,Iron production site,Betula,Betula,Åmot,61.137,11.443,Boreal
2598,Point,T-16902,815,55,1200-1400 AD,Hedmark,Norway,Charcoal,Gråfjellet,Iron production site,Pinus,Pinus,Åmot,61.137,11.443,Boreal
2599,Point,T-18678,695,55,1200-1400 AD,Buskerud,Norway,Charcoal,Haglebu3,Iron production site,Betula,Betula,Sigdal,60.096,9.461,Boreal
2600,Point,T-18278,780,55,1200-1400 AD,Oppland,Norway,Charcoal,Jfp.8,Iron production site,Picea,Picea,Vang,61.156,8.743,Alpine
2601,Point,T-19012,780,55,1200-1400 AD,Oppland,Norway,Charcoal,Damtjednet vest,Iron production site,Picea,Picea,Nord-Aurdal,60.937,9.261,Alpine
2602,Point,T-12145,753,55,1200-1400 AD,Akershus,Norway,Charcoal,Flyplassområdet,Iron production site,Pinus+restm.,Pinus,Nannestad,60.2333,11.0833,Boreal
2603,Point,T-18012,740,55,1200-1400 AD,Hedmark,Norway,Charcoal,Jfp.5,Iron production site,Picea,Picea,Åmot,61.137,11.443,Boreal
2604,Point,T-18359,715,55,1200-1400 AD,Oppland,Norway,Charcoal,Hovemoen,Iron production site,Pinus,Pinus,Lillehammer,61.148,10.388,Boreal
2605,Point,T-8372,504,55,1200-1400 AD,Oppland,Norway,Charcoal,Dokkfløyvatn,Other,Pinus,Pinus,Gausdal,61.1667,9.95,Alpine
2606,Point,T-16739,825,55,1200-1400 AD,Hedmark,Norway,Charcoal,R1,Iron production site,Pinus,Pinus,Åmot,61.137,11.443,Boreal
2607,Point,Tua-1683,584,55,1200-1400 AD,Telemark,Norway,Wood,Åmotsdal,Other,Pinus,Pinus,Seljord,59.6333,8.4,Alpine
2608,Point,Tua-1814,816,55,1200-1400 AD,Akershus,Norway,Charcoal,Sandbukt,Other,Pinus,Pinus,Oppegård,59.9,10.75,Boreal
2609,Point,T-15080,3020,55,1400-1200 BC,Oppland,Norway,Charcoal, ,Other,Alnus,Alnus,Gjøvik,60.835,10.617,Boreal
2610,Point,Lus-13535,2900,55,1400-1200 BC,Oppland,Norway,charcoal,Mørstadstølen I,Other, Betula,Betula,Øystre Slidre,61.347,9.0109,Alpine
2611,Point,T-18276,400,55,1400-1600 AD,Oppland,Norway,Charcoal,Jfp.8,Iron production site,Picea,Picea,Vang,61.156,8.743,Alpine
2612,Point,T-9268,485,55,1400-1600 AD,Hedmark,Norway,Charcoal,Nyås,Iron production site,Betula,Betula,Tolga,62.37,11.116,Alpine
2613,Point,T-19274,325,55,1400-1600 AD,Hedmark,Norway,Charcoal,Hodalen,Iron production site,Betula,Betula,Tolga,62.37,11.116,Alpine
2614,Point,T-11411,394,55,1400-1600 AD,Østfold,Norway,Charcoal,Gunnarstorp,Other,Fraxinus,Fraxinus,Sarpsborg,59.2167,11.1333,Boreal
2615,Point,Tua-3224,305,55,1400-1600 AD,Østfold,Norway,Hazel nutshell,Berget 1,Other,Hazel nutshell,Corylus,Halden,59.1021,11.2507,Boreal
2616,Point,T-18174,310,55,1400-1600 AD,Hedmark,Norway,Charcoal,Jfp.5,Iron production site,Pinus,Pinus,Åmot,61.137,11.443,Boreal
2617,Point,T-14477,295,55,1400-1600 AD,Oppland,Norway,Charcoal,g,Other,Betula,Betula,Gjøvik,60.835,10.617,Boreal
2618,Point,T-17373,465,55,1400-1600 AD,Hedmark,Norway,Charcoal,Reguleringsplan for Korsholen - utvidelse av Johansrudvegen,Iron production site,Betula,Betula,Nord-Odal,60.4444,11.4967,Boreal
2619,Point,Tua-2891,3557,55,2000-1800 BC,Vestfold,Norway,Charcoal,Barkåker,Settlement site,Betula,Betula,Tønsberg,59.3,10.4667,Boreal
2620,Point,T-14968,1655,55,200-400 AD,Trøndelag,Norway,Charcoal,R456,Iron production site,Betula/Pinus,Betula,Meråker,63.446,11.847,Alpine
2621,Point,T-14968,1655,55,200-400 AD,Trøndelag,Norway,Charcoal,R456,Iron production site,Betula/Pinus,Pinus,Meråker,63.446,11.847,Alpine
2622,Point,T-19845,1720,55,200-400 AD,Østfold,Norway,Charcoal,Stabbetorp,Other,Betula,Betula,Sarpsborg,59.2179,11.115,Boreal
2623,Point,x15,1675,55,200-400 AD,Hedmark,Norway,Charcoal,Gråfjellet,Iron production site,Pinus?,Pinus,Åmot,61.137,11.443,Boreal
2624,Point,Tua-3226,3695,55,2200-2000 BC,Østfold,Norway,Hazel nutshell,Torpum 9a,Other,Hazel nutshell,Corylus,Halden,59.0976,11.25,Boreal
2625,Point,Tua-3719,4151,55,2800-2600 BC,Vestfold,Norway,Hazel nutshell,Auve,Other,Hazel nutshell,Corylus,Sandefjord,59.0667,10.2667,Boreal
2626,Point,Tua-3723,4363,55,3000-2800 BC,Vestfold,Norway,Charcoal,Auve,Other,Salix/Populus,Salix,Sandefjord,59.0667,10.2667,Boreal
2627,Point,Tra-2274,2285,55,400-200 BC,Vestfold,Norway,Charcoal,Hesby 13,Other,Alnus,Alnus,Tønsberg,59.2833,10.3121,Boreal
2628,Point,T-10651,2135,55,400-200 BC,Østfold,Norway,Charcoal,Dyre,Other,Tilia,Tilia,Rygge,59.4,10.4,Boreal
2629,Point,Tua-4626,2265,55,400-200 BC,Østfold,Norway,Charcoal,Lundeby,Settlement site,Betula,Betula,Råde,59.325,10.792,Boreal
2630,Point,Tra-1123,2225,55,400-200 BC,Vestfold,Norway,Charcoal,E18 lok.35,Settlement site,Corylus,Corylus,Stokke,59.2273,10.2553,Boreal
2631,Point,Tra-186,2330,55,400-200 BC,Østfold,Norway,Charcoal,"Glemmen, lok 17",Other,Betula,Betula,Fredrikstad,59.2401,10.9782,Boreal
2632,Point,Tua-3003,2299,55,400-200 BC,Akershus,Norway,Charcoal,Treider,Other,Betula,Betula,Ås,59.6667,10.7333,Boreal
2633,Point,Ua-3751,1535,55,400-600 AD,Buskerud,Norway,Charcoal,Letningslia 087,Iron production site,Pinus,Pinus,Hol,60.482,8.076,Alpine
2634,Point,T-18874,1510,55,400-600 AD,Oppland,Norway,Charcoal,Jfp.14,Iron production site,Pinus,Pinus,Vang,61.156,8.743,Alpine
2635,Point,Ua-3750,1415,55,400-600 AD,Buskerud,Norway,Charcoal,Brustølhaugen,Iron production site,Betula,Betula,Hemsedal,60.9,8.845,Alpine
2636,Point,Tua-2263,1541,55,400-600 AD,Buskerud,Norway,Wood,Halvdanshaugen,Other,Betula,Betula,Hole,60.1,10.3,Boreal
2637,Point,Tua-3892,6430,55,5600-5400 BC,Østfold,Norway,Charcoal,Torpum 9a,Settlement site, Quercus,Quercus,Halden,59.0976,11.25,Boreal
2638,Point,Tua-3922,6505,55,5600-5400 BC,Østfold,Norway,Charcoal,Torpum 9b,Other, Betula,Betula,Halden,59.0976,11.251,Boreal
2639,Point,Tua-3550,1474,55,600-800 AD,Østfold,Norway,Charcoal,Evje,Other,"Betula, Corylus",Betula,Rygge,59.3667,10.6833,Boreal
2640,Point,Tua-3550,1474,55,600-800 AD,Østfold,Norway,Charcoal,Evje,Other,"Betula, Corylus",Corylus,Rygge,59.3667,10.6833,Boreal
2641,Point,T-18250,1170,55,600-800 AD,Oppland,Norway,Charcoal,Gudbrandslie,Iron production site,Betula,Betula,Vang,61.156,8.743,Alpine
2642,Point,T-15840,1385,55,600-800 AD,Oppland,Norway,Charcoal,Snertingdal,Iron production site,Pinus,Pinus,Gjøvik,60.835,10.617,Boreal
2643,Point,Lus-13480,8025,55,7000-6500 BC,Hedmark,Norway,Charcoal,Steinsvingen,Other,Pinus,Pinus,Ringsaker,60.9082,10.7086,Boreal
2644,Point,Tra-4117,8030,55,7000-6500 BC,Telemark,Norway,Charcoal,Langangen Vestgård 1,Settlement site,Pinus,Pinus,Porsgrunn,59.1101,9.8021,Boreal
2645,Point,Tra-3410,8465,55,8000-7500 BC,Vestfold,Norway,Charcoal,Hovland 1,Other,Betula,Betula,Larvik,59.0785,10.0462,Boreal
2646,Point,T-16168,1150,55,800-1000 AD,Oppland,Norway,Charcoal,Børrenøse,Iron production site,Pinus,Pinus,Vang,61.156,8.743,Alpine
2647,Point,T-18279,1105,55,800-1000 AD,Oppland,Norway,Charcoal,Jfp.8,Iron production site,Picea,Picea,Vang,61.156,8.743,Alpine
2648,Point,T-13125,1102,55,800-1000 AD,Buskerud,Norway,Charcoal,Verpe,Iron production site,Pinus,Pinus,Hol,60.5333,8.1667,Alpine
2649,Point,T-16758,1130,55,800-1000 AD,Hedmark,Norway,Charcoal,R2,Iron production site,Pinus,Pinus,Åmot,61.137,11.443,Boreal
2650,Point,T-18879,1145,55,800-1000 AD,Oppland,Norway,Charcoal,Tørrisheisen,Iron production site,Pinus,Pinus,Vang,61.156,8.743,Alpine
2651,Point,T-18725,1020,55,800-1000 AD,Oppland,Norway,Charcoal,Gudbrandslie,Iron production site,Betula,Betula,Vang,61.156,8.743,Alpine
2652,Point,Tua-5704,2595,55,800-600 BC,Østfold,Norway,Charcoal,Bjørnstad,Other,Betula,Betula,Sarpsborg,59.2833,11.05,Boreal
2653,Point,Tua-1294,964,54,1000-1200 AD,Hedmark,Norway,Charcoal,Nesvangen,Settlement site,Betula,Betula,Åmot,61.1333,11.3667,Boreal
2654,Point,Tua-1601,1948,54,1-200 AD,Akershus,Norway,Charcoal,Dønnum,Settlement site,Betula,Betula,Eidsvoll,60.3,11.2167,Boreal
2655,Point,Tua-528,1943,54,1-200 AD,Buskerud,Norway,Charcoal,Bråthen 48/1,Settlement site,Betula,Betula,Ringerike,60.1667,10.2167,Boreal
2656,Point,T-10330,818,54,1200-1400 AD,Hedmark,Norway,Charcoal,Halset,Other,Pinus,Pinus,Ringsaker,60.8333,11.05,Boreal
2657,Point,Tua-2730,417,54,1400-1600 AD,Aust-Agder,Norway,Charcoal,Songe,Other,Pinus,Pinus,Froland,58.5167,8.6333,Boreal
2658,Point,T-14179,2073,54,200-1 BC,Buskerud,Norway,Charcoal,Bråten 48/1,Settlement site,Pinus,Pinus,Ringerike,60.1667,10.2167,Boreal
2659,Point,T-11094,2098,54,200-1 BC,Aust-Agder,Norway,Charcoal,Straume,Iron production site,Pinus,Pinus,Valle,59.0667,7.5833,Boreal
2660,Point,T-15811,1734,54,200-400 AD,Vestfold,Norway,Charcoal,Råstad Nordre,Other,Corylus,Corylus,Stokke,59.2167,10.35,Boreal
2661,Point,Ua-44686,1792,54,200-400 AD,Oppland,Norway,Charcoal,Odenrud II,Other,Pinus,Pinus,Sør-Fron,61.551,9.88,Boreal
2662,Point,Ua-44689,1680,54,200-400 AD,Oppland,Norway,Charcoal,Odenrud II,Other,Pinus,Pinus,Sør-Fron,61.551,9.88,Boreal
2663,Point,Ua-50306,2311,54,600-400 BC,Oppland,Norway,Charcoal,Hausåker,Iron production site,Betula,Betula,Vestre Slidre,61.061,8.996,Alpine
2664,Point,Ua-45507,8609,54,8000-7500 BC,Vestfold,Norway,Charcoal,Hovland 3,Settlement site,Betula,Betula,Larvik,59.0782,10.0482,Boreal
2665,Point,Tua-1594,857,53,1000-1200 AD,Hedmark,Norway,Charcoal,Riskogskoia,Iron production site,Pinus,Pinus,Åmot,62.1667,11.4,Alpine
